#FdDelay,In (Vrms),Out (Vrms),Frequency_real,Frequency_theory,Fphase
,,,,,
0,3.44,3.226,102.212,101,0
,,,,,
0,3.44,3.256,126.5,125,
,,,,,
0,3.44,3.286,161.92,160,0
,,,,,
0,3.44,3.256,207.46,205,
,,,,,
0,3.44,3.166,263.12,260,0
,,,,,
0,3.44,3.226,332.948,329,
,,,,,
0,3.44,3.196,425.04,420,
,,,,,
0,3.44,3.166,537.372,531,0
,,,,,
0,3.44,3.196,683.1,675,
,,,,,
0,3.44,3.166,872.344,862,
,,,,,
0,3.44,3.196,1103.08,1090,
,,,,,
1.40E-05,3.44,3.105,1386.44,1370,0
,,,,,
1.40E-05,3.44,3.105,1760.88,1740,
,,,,,
1.40E-05,3.44,3.075,2256.76,2230,0
,,,,,
1.40E-05,3.44,3.105,2813.36,2780,
,,,,,
1.36E-05,3.44,2.958,3612.84,3570,
,,,,,
1.36E-05,3.44,2.894,4554,4500,
,,,,,
1.44E-05,3.44,2.756,5819,5750,0
,,,,,
1.24E-05,3.44,2.569,7337,7250,
,,,,,
1.20E-05,3.44,2.352,9280.04,9170,
,,,,,
1.08E-06,3.44,2.074,12042.8,11900,
,,,,,
9.99E-06,3.44,1.806,15078.8,14900,
,,,,,
8.79E-06,3.44,1.489,18924.4,18700,
,,,,,
7.60E-06,3.44,2.001,24288,24000,
,,,,,
9.04E-06,3.44,0.983,30866,30500,
,,,,,
5.44E-06,3.44,0.799,38962,38500,
,,,,,
4.24E-07,3.44,0.636,49588,49000,
,,,,,
2.84E-06,3.44,0.816,80352.8,79400,
,,,,,
2.26E-06,3.44,0.444,101200,100000,
